reviewerID,asin,overall,overall_new,reviewText,filteredReviewText
6,1,5,5.0,These are my favorite eye shadows! Box even comes with instructions. Love it!,These are my favorite eye shadows ! Love it !
14,1,5,5.0,I have a dry scalp and occasional dandruff. This product really helps! Leave it on for a few minutes then really lather it up and give your scalp a good scrubbing. It really works.,This product really helps ! Leave it on for a few minutes then really lather it up and give your scalp a good scrubbing . It really works .
68,1,5,1.0,Suffered from itchiness under my hair for couple of years. This product cured the itchiness completely. I took some 4-5 drops of it and then massaged my wet head for a minute approximately. After 2 uses noticed a considerable difference. It definitely gets the job done!,Suffered from itchiness under my hair for couple of years . It definitely gets the job done !
56,1,5,5.0,"This and the matching conditioner saved my scalp. My hair was falling out due to a very dry scalp. Nothing else I tried would cure my issue. My head literally hurt. After one use, my scalp had real relief. My hair looks beautiful after just two washes. I'm definitely going to buy this again. The smell is not great, but you'll look past it to save your scalp. It is one of the only products that is 100% truly organic. No added chemicals. Very gentle and effective. I highly recommend this product.","and the matching conditioner saved my scalp . My hair was falling out due to a very dry scalp . Nothing else I tried would cure my issue . My head literally hurt . After one use , my scalp had real relief . My hair looks beautiful after just two washes . I 'm definitely going to buy this again . The smell is not great , but you 'll look past it to save your scalp . It is one of the only products that is 100 % truly organic . No added chemicals . Very gentle and effective . I highly recommend this product ."
57,1,5,5.0,The best one Ive ever used!!!,The best one I ve ever used ! ! !
45,1,5,5.0,"Very nice scrub. Not walnut or random shell pieces acting as your physical exfoliant in this product! Neither does it use plastic microbeads. Definitely cleans my face when I need to get rid of flaky skin, but it does not leave my skin tight or dry. Instead, my skin is soft and smooth - but not irritated, (I know this because my skin is not red, especially considering certain sections of my face still have healing blemishes). Will try the hair care products soon.","Very nice scrub . Definitely cleans my face when I need to get rid of flaky skin , but it does not leave my skin tight or dry . Instead , my skin is soft and smooth - but not irritated , ( I know this because my skin is not red , especially considering certain sections of my face still have healing blemishes ) . Will try the hair care products soon ."
9,1,5,5.0,First hair care product I've decided to purchase online. Worth it for sure. No more struggle with getting rid of my dandruff problem. I use it about once per 2-3 days and it is more than enough to keep my hair and head skin healthy.,First hair care product I 've decided to purchase online . Worth it for sure . No more struggle with getting rid of my dandruff problem . and it is more than enough to keep my hair and head skin healthy .
69,1,5,5.0,Really good one my head feels really relaxed after chemical shampoos it's pretty big bottle.thanks for inventor.,Really good one my head feels really relaxed after chemical shampoos it 's pretty big bottle.thanks for inventor .
37,0,5,,"HEY!! I am an Aqua Velva Man and absolutely love this stuff, been using it for over 50 years. This is a true after shave lotion classic. Not quite sure how many women that have been attracted to me because of Aqua Velva,  I do know for sure that it's just to many to count. Ha.  Not sure how long this has been around but the Williams Company ran a paper advertisement, taken from a 1949 magazine, which features Ralph Bellamy of Detective Story and Ezio Pinza of South Pacific for Aqua Velva After Shave Lotion. I'm sure you all remember Ralph Bellamy and Ezio Pinza from the 40's right.

There slogan was "" There is nothing like an AQUA VELVA MAN "" and it seemed to work because this was a hot item when I was a young man. It's just amazing that this is still around when the vast majority of after shave lotions from that time period have disappeared over the years.

The only negative about Aqua Velva is it does not last very long. Usually in less than an hour the aroma has dissipated. The more expensive after shave lotions and perfumes have Ambergris in them which is quite expensive and comes from a sperm whale this enables the aroma to linger much longer.

At any rate this is a great classic after shave with a wonderful refreshing odor, give it a try you might just like it.

Note :::; Some reviewers mention this 7oz size now comes in a plastic container, I just bought one in Wal-Mart and it was glass.",
61,1,5,5.0,I received the shampoo because I was suffering from dandruff and I was like ok lets try it and I couldn't believe the result from only just one wash. it cleared out the dandruff without drying my hair out. My hair felt smooth and Fresh after just the first wash. I tried aveda spray before but it was useless and waste of money,because I was suffering from dandruff and I was like ok lets try it it cleared out the dandruff without drying my hair out . My hair felt smooth and Fresh after just the first wash .
5,1,2,2.0,"The shampoo is very watery, and I did not see too much of a difference in my dandruff.",
59,1,1,1.0,Too expensive for such poor quality. There was no improvement and I am starting to think my scalp is worse off than it was before I started using this product. I do agree with other reviews that it feels watered down too much. Had to use more shampoo than all other shampoo's I have tried to get a good lather.,Too expensive for such poor quality . There was no improvement and I am starting to think my scalp is worse off than it was before I started using this product . I do agree with other reviews that it feels watered down too much . Had to use more shampoo than all other shampoo 's I have tried to get a good lather .
64,1,5,5.0,"This is just adorable compact fragrance. It comes in a gorgeous silver compact. A cute carry pouch. And to my surprise- a refill. I am Uber pleased with this purchase. Oh and the D&G Lifht Blue is one of my forever favorite fragrances.

Love",This is just adorable compact fragrance . A cute carry pouch . And to my surprise- a refill . I am Uber pleased with this purchase . and the D&G Lifht Blue is one of my forever favorite fragrances . Love
29,1,5,5.0,"Got this shampoo as a solution for my wife's dandruff problem. It worked! She got rid of any dandruff signs after 3-4 uses. As long as she is happy, I am happy too!","Got this shampoo as a solution for my wife 's dandruff problem . It worked ! As long as she is happy , I am happy too !"
27,1,5,5.0,My husband loves this soap and I love how it makes him smell. Worth the dollars!,My husband loves this soap and I love how it makes him smell . Worth the dollars !
53,1,1,1.0,"Throwing it away, burned my scalp.","Throwing it away , burned my scalp ."
8,1,5,5.0,love it,love it
1,1,5,5.0,I have an Airbnb.  This is perfect for guests.  The price is right and I can provide shampoo with little waist.  I appreciate this product,This is perfect for guests . The price is right I appreciate this product
2,1,5,5.0,Also a very good product,Also a very good product
49,1,5,1.0,"I was using this shampoo from six years and found helpful restoring hair and reducing dryness of psoriasis.
But it was discontinued from three years .Why I don't know .Then I used other psoriasis  shampoos ,which didn't help .scalp still dry and hair falling down. I bought on line but came in small bottle and was costly, and was looks like doublicate not the real.","and found helpful restoring hair But it was discontinued from three years .Why I used other psoriasis   shampoos , which did n't help .scalp still dry and hair falling down . and was costly , and was looks like doublicate not the real ."
24,1,5,5.0,Great smell and products.,Great smell
25,1,1,1.0,"Nope. It smells like artificial bananas, and this smell does linger. It's pure liquid, there is no thickness to it at all, it's like pouring banana water on your head that lathers. It does not help with an itchy scalp either (I have psoriasis). This shampoo neither helped nor hindered my hair or scalp, made absolutely no difference (except for the banana smell). Don't waste your money.","It smells like artificial bananas , and this smell does linger . It 's pure liquid , there is no thickness to it at all , it 's like pouring banana water on your head that lathers . It does not help with an itchy scalp either ( I have psoriasis ) . This shampoo neither helped nor hindered my hair or scalp , made absolutely no difference ( except for the banana smell ) . Do n't waste your money ."
30,1,5,5.0,Excellent product.,Excellent product .
16,1,4,1.0,"I've used a chemical shampoo for too long and my hair started breaking off! So with a lot of research I bought this! It has made my hair (which is thin with oily roots and dry ends) way stronger and shinny without being oily! It's really fantastic. I took a star away for 2 reasons, one is because the price is a bit outrages, and two is because if I use it every day my hair starts to get buildup so I have to find a clean shampoo that washes away the build up to use twice a week..","and my hair started breaking off ! and dry ends ) way stronger It 's really fantastic . because the price is a bit outrages , so I have to find a clean shampoo that washes away the build up to use twice a week .."
41,1,5,5.0,thanks,thanks
48,1,5,5.0,love it. will continue to use all products from herline,love it .
17,1,5,5.0,Nice light mousse.  Gives some control to old gray wild hair.,Nice light mousse . Gives some control to old gray wild hair .
0,1,5,1.0,What the hubby wanted,
13,1,1,1.0,"This product is a scam!  Not only does it have the consistency of water, but you need a tremendous amount for it to foam, as suggested in the instructions.  I have a shaved head and can see going through this bottle in a week or two at this pace.  To make matters worse, the my short hair was sticking up as if I had been electrocuted!  I'm going to try try this junk one more time and if I experience similar results, I'm going to try to return this trash.  BUYER BEWARE!!!","This product is a scam ! To make matters worse , the my short hair was sticking up as if I had been electrocuted ! I 'm going to try try this junk one more time and if I experience similar results , I 'm going to try to return this trash . BUYER BEWARE ! ! !"
67,1,5,5.0,Love this shampoo.  I have been using it for years...keeps the yellow out of gray hair.,Love this shampoo .
22,1,1,1.0,Arrived opened  and leaking all over the box.  Tried shampoo but didn't help at all.  Still so itchy.,and leaking all over the box . but did n't help at all . so itchy .
33,1,5,1.0,Wife uses this cream always. Hard to get.,Hard to get .
28,1,5,5.0,Husband loves it.... Uses it to wash his locs,Husband loves it ....
58,1,5,5.0,Great,Great
15,1,2,2.0,I really like using organic products and this product had awesome reviews. Ive been seeing a dermatologist for my psoriasis and received a much of topical cream and even steroid injections. So I wanted to go more oganic. It still didn't work and Ive used the whole bottle. It didn't even help improve it any bit. Im sure this may work for someone else but it didn't for me.,I really like using organic products and this product had awesome reviews . It still did n't work It did n't even help improve it any bit . I m sure this may work for someone else
47,1,5,5.0,Smells great!! Thanks for the fast delivery!,Smells great ! ! Thanks for the fast delivery !
11,1,5,5.0,love this shampoo,love this shampoo
66,1,5,5.0,I bought this shampoo to go in wedding guest gift bags who are joining us on a cruise. I wanted something that was natural and this little tube of shampoo fit the bill. I also recieved an email from the company thanking me for my purchase and thought that was a nice customer service touch. I will definitely be exploring their other products and recommend this company.,I bought this shampoo to go in wedding guest gift bags who are joining us on a cruise . I wanted something that was natural and this little tube of shampoo fit the bill . and thought that was a nice customer service touch . I will definitely be exploring their other products and recommend this company .
34,1,5,5.0,"This body wash smells amazing. Let me see how to describe ""amazing"" as a scent. It smells like you just showered in a botanical garden on a beautiful spring day.  Plus your skin feels silky smooth thereafter.","This body wash smells amazing . Let me see how to describe "" amazing "" as a scent . It smells like you just showered in a botanical garden on a beautiful spring day . Plus your skin feels silky smooth thereafter ."
52,1,1,1.0,"Awful. Zero anti dandruff properties. Comes out of bottle like water, so very easy to waste. Very poor lathering, requires large quantity to lather up hair. Vague smell, not bad but also not pleasant.","Awful . Zero anti dandruff properties . Comes out of bottle like water , so very easy to waste . Very poor lathering , requires large quantity to lather up hair . Vague smell , not bad but also not pleasant ."
23,1,5,5.0,"Been looking for good shampoo that would work with my dry hair for a long time. Tried a lot of options. This is the one. Hair feels as clean as possible after use. Also, deals with dandruff problem easily. No more snowy shoulders.","Been looking for good shampoo that would work with my dry hair for a long time . Hair feels as clean as possible after use . Also , deals with dandruff problem easily . No more snowy shoulders ."
51,0,5,5.0,Like the oder and the feel when I put it on my face.  I have tried other brands but the reviews from people I know they prefer the oder of this brand. Not hard on the face when dry.  Does not leave dry skin.,Like the oder but the reviews from people I know they prefer the oder of this brand . Not hard on the face when dry . Does not leave dry skin .
65,1,5,5.0,Love this perfume. Light and feminine and doesn't give me a headache like many other fragrances.,Love this perfume . and does n't give me a headache like many other fragrances .
12,1,5,5.0,Cleansing properties are above any praise! Suprised by how good an all-organic product can be. Hair feel amazing after use.,Cleansing properties are above any praise ! Suprised by how good an all - organic product can be . Hair feel amazing after use .
54,0,1,1.0,I bought this to smell nice after I shave.  When I put it on I smelled awful.  I am 19 and I smelled like a grandmother with too much perfume.,I bought this to smell nice after I shave . When I put it on I smelled awful . and I smelled like a grandmother with too much perfume .
50,1,5,5.0,"My psoriasis has been a lot less irritated now that I am swapping in this shampoo to replace my other shampoo every other wash. Not only is my hair cleaner, but my psoriasis is a lot less flared up. I am very happy with this shampoo.","My psoriasis has been a lot less irritated now that I am swapping in this shampoo to replace my other shampoo every other wash . Not only is my hair cleaner , I am very happy with this shampoo ."
42,1,5,5.0,Love this product. Cleans hair quickly and leaves hair soft.,Love this product . and leaves hair soft .
40,1,5,5.0,"Very pleased with Uhuru Naturals Hair Growth Shampoo.  It stopped my hair loss, and adds volume.  My hair has even developed waves that it never had before, plus it's soft and silky. I'll certainly buy more of this excellent shampoo when I finish the bottle I have now.  I've already recommended it to friends. This shampoo is gentle to my baby fine hair and leaves it really clean.","Very pleased with Uhuru Naturals Hair Growth Shampoo . It stopped my hair loss , My hair has even developed waves that it never had before , plus it 's soft I 'll certainly buy more of this excellent shampoo when I finish the bottle I have now . I 've already recommended it to friends . This shampoo is gentle to my baby fine hair and leaves it really clean ."
55,1,5,5.0,Use regularly. love this product.,love this product .
26,1,5,5.0,"Frequently get compliments on my beautiful shiny hair, great shampoo","Frequently get compliments on my beautiful shiny hair, great shampoo"
4,1,4,4.0,Have been using the product since I got my first as a gift and I like it.  I have dry coarse hair and it helps to soften it and take away the dullness.,Have been using the product since I got my first as a gift and I like it . I have dry coarse hair and it helps to soften it and take away the dullness .
7,1,5,5.0,"Got this product for me and  my daughter. I can say 100% - it works superb on both, long curly and short straight hair.","I can say 100 % - it works superb on both , long curly and short straight hair ."
44,1,5,5.0,"Great ingredients, but didn't agree with my skin","Great ingredients , but did n't agree with my skin"
32,1,4,4.0,nice,nice
62,1,1,1.0,Made dandruff worse and irritated rest of skin,Made dandruff worse and irritated rest of skin
63,1,4,4.0,Very happy with my first time using it my hair was manageable,Very happy with my first time using it my hair was manageable
31,1,5,5.0,I love how soft this makes my skin and the scent is amazing. When my local stored are out I can always get it at Amazon,I love how soft this makes my skin and the scent is amazing . When my local stored are out I can always get it at Amazon
