reviewerID,asin,predictRating,T_v,overall,overall_new,reviewText,filteredReviewText
AQG3FO72CYLU3,B00006L9LC,-1,1,5,1,can't beat it... 3 for the price of 1 at a local store,
AL24GOJZZ48PB,B00006L9LC,-1,1,5,1,As expected for price.,
A345PQ5PIJVC67,B00006L9LC,-1,1,5,1,"AS awesome as this product is, it HAS been discontinued by the makers. The people selling this on here, including the shampoos and conditioners ARE price gouging you and who knows how OLD it is..  Very Sad","AS awesome as this product is , it HAS been discontinued by the makers . Very Sad"
AVC2FIYKB6VHF,B00006L9LC,-1,1,5,1,:),
A2SZLPBSBNJ7QV,B00006L9LC,-1,1,5,1,Order arrived on time and exactly as described,
A1F8L7H54H5WFZ,B00006L9LC,-1,1,5,1,"My ""go to"" shampoo for my blonde foiled hair. The only other product I'll use aside from Pureology.  Warning to new users, don't leave in too long or it will blue your hair and wait one week before using on newly highlighted hair.","Warning to new users , do n't leave in too long or it will blue your hair"
A2BWO517WH1GJE,B00006L9LC,-1,1,5,1,"I've used this shampoo for years and loved it............. BUT.... the last bottles I bought at Big Lots were only $1.70 for 16ozs.  There's no way its worth $39 a bottle.  Who are you guys kidding? What a scam! There are plenty of other products out there that do a good job for far less money.
Use a nice conditioner (I still have several bottles left that I paid less than $2 for) and you'll still get nice results.  Bah-humbug for those scam artists trying to sell this for 10 times what it's worth.",and loved it ............. There 's no way its worth $ 39 a bottle . Who are you guys kidding ? What a scam ! There are plenty of other products out there that do a good job for far less money . Use a nice conditioner ( I still have several bottles left that I paid less than $ 2 for ) and you 'll still get nice results . Bah - humbug for those scam artists trying to sell this for 10 times what it 's worth .
AROYPRQ35VSAT,B00006L9LC,-1,1,5,1,If they discontinued this scent I would go postal. <3,If they discontinued this scent I would go postal .
AH95EJ2HK06Q2,B00006L9LC,-1,1,5,1,"I love this scent, and it's no longer being made.
I'm always on the hunt for ""something like it.""
It reminds me of the 70's fragrance, ""Golden Autumn"", also not being made any more.
Today's scents hit my nose in the wrong way, they are either too ""piquant"" with heavy tones of freesia, or too much like bubble gum.
I spent the money and bought Channel No. 5 thinking, I'd just sort ""move up"", and while it smell great at first blush, it turns into just a baby powder smell on me. I can get baby powder for a lot less.
If the fragrance gods are listening, please recreate this or something like it! I always get compliments on it.","I love this scent , and it 's no longer being made . I 'm always on the hunt for "" something like it . It reminds me of the 70 's fragrance , "" Golden Autumn "" , also not being made any more . Today 's scents hit my nose in the wrong way , they are either too "" piquant "" with heavy tones of freesia , or too much like bubble gum . and bought Channel No . 5 thinking , I 'd just sort "" move up "" , and while it smell great at first blush , it turns into just a baby powder smell on me . If the fragrance gods are listening , please recreate this or something like it ! I always get compliments on it ."
A24A9FRVM8TQZS,B00006L9LC,-1,1,5,1,Item just as described,
ANNRN691N2WR,B00006L9LC,-1,1,5,1,I would recommend this eye cream because it is extremely moisturizing and it only takes a small dab for each eye.  I could tell after only a few times of using it that the fine lines around my eyes weren't as noticeable.,I would recommend this eye cream I could tell after only a few times of using it that the fine lines around my eyes were n't as noticeable .
A2O23K583MS6RI,B00006L9LC,-1,1,5,1,I've been using this product for a couple of years at the suggestion of my hair stylist. Took away the dullness of my gray hair. I like it.,Took away the dullness of my gray hair . I like it .
A1FFSRBOERRDLB,B00006L9LC,-1,1,5,1,"I was looking for a product that will help minimize the fine lines around the my eyes and only after 2 weeks I could notice an improvement. After 3 weeks my family started commenting on my skin! It does not leave my face feeling greasy nor does it have any fragrance. I feel like it has made my skin look firmer, which makes me looker younger!","I was looking for a product that will help minimize the fine lines around the my eyes and only after 2 weeks I could notice an improvement . It does not leave my face feeling greasy nor does it have any fragrance . I feel like it has made my skin look firmer , which makes me looker younger !"
A344ILJPHYQ0V,B00006L9LC,-1,1,4,1,muy bueno,
A1E9D6RGEDFT2O,B00006L9LC,-1,1,4,1,"I think this shampoo can be even five stars, hair feels soft and fresh. But I think it doesn't give that feeling of clean hair near my roots. It might be just not the right type for me. But in general I would definitely recommend these products.","I think this shampoo can be even five stars , hair feels soft and fresh . But I think it does n't give that feeling of clean hair near my roots . It might be just not the right type for me . But in general I would definitely recommend these products ."
A1JDBXPK20HBUW,B00006L9LC,-1,1,5,1,"One of my favorite skincare lines. That said, I usually use their other line but since I'm not getting younger, I thought I'd try their more mature line. Strangely, it's LESS moisturizing than their younger line. I'm still using it but next order will be back to their younger line of skincare.

I think the essence in this package is better but the overnight cream and moisturizer in the other package is much better.

I do not use their eye cream, though. Gave it away as it's just too heavy for my purposes and increases milia.","One of my favorite skincare lines . but since I 'm not getting younger , I thought I 'd try their more mature line . Strangely , it 's LESS moisturizing than their younger line . I think the essence in this package is better and moisturizer in the other package is much better ."
A3DA9MP7OGLPC0,B00006L9LC,-1,1,5,1,,
A222BBVJ75BTFE,B00006L9LC,-1,1,4,1,"Love the product, except for the fact that TWO bottles have now broken after being dropped in the shower. The tops needs to be screwed off which I would change to a more friendly flip top which would not require three hands. The product is too expensive to  be wasted down the drain or watered down because the top keeps getting broken off (two different bottles).","Love the product , except for the fact that TWO bottles have now broken after being dropped in the shower . The tops needs to be screwed off which I would change to a more friendly flip top which would not require three hands . The product is too expensive to   be wasted down the drain or watered down because the top keeps getting broken off ( two different bottles ) ."
A7VOU5ARHQ20F,B00006L9LC,-1,1,5,1,Love this stuff.  It works better on my Psoriasis better then the medical creams and ointments the doctors prescribed.  Too bad they stopped making it.  Horde it all now because someday it will be gone and you will be forced to use head and shoulders.,Love this stuff . It works better on my Psoriasis better then the medical creams Too bad they stopped making it . Horde it all now and you will be forced to use head
A3IVDKJ8B51LO0,B00006L9LC,-1,1,5,1,Would buy more of the body cream if moire was available.  This body cream is hard to come by.  I buy anytime I find on a site.  Lotion is easily available but the body cream is difficult to obtain.  This is my signature fragrance.,Would buy more of the body cream if moire was available . This body cream is hard to come by . Lotion is easily available but the body cream is difficult to obtain .
A3RMWHVP1CX5J1,B00006L9LC,-1,1,5,1,"Can't get this in the US (not ever made here, as far as I know), and not in Canada apparently anymore either.  Pricey but it's an import....",Pricey
A245UNW3PI53NG,B0009RF9DW,-1,1,5,1,I am allergic to a lot of things. I occasionally get a red rash over my body after using some other body washes. This one is an exception. Not a single complain. Perfect!,I am allergic to a lot of things . I occasionally get a red rash over my body after using some other body washes . Not a single complain . Perfect !
A3F53CPYRL46XZ,B0009RF9DW,-1,1,5,1,"So, 5 stars it is.",
A1D3G0HL756T8B,B0009RF9DW,-1,1,5,1,Lovin' them.,
A2NH58DY5F0XSZ,B0009RF9DW,-1,1,5,1,AAA+,
A121C9UWQFW5W6,B0009RF9DW,-1,1,5,1,Just what I wanted and it arrived early,
ASL42Q7LYJWFV,B0009RF9DW,-1,1,5,1,Tried many but this is the one to buy.,
A280XZUEBJ0G3Z,B0009RF9DW,-1,1,5,1,Absolutely...exactly as described,
AVXT2TB9ZHYRF,B0009RF9DW,-1,1,5,1,It was just what I wanted.,
ABXNHW16GPL6F,B0009RF9DW,-1,1,5,1,"This is a ridiculous price and the seller should be ashamed!  Bath and Body Works quit selling this and the lotion that went with it and I have no idea why.  Everywhere I went perfect strangers would ask me what scent I was wearing!  I told them this in the store, as if it did any good.  SO, for all you out here who love the vanilla scent, try this, also sold on Amazon:

Monoi Tiare Tahiti Coconut Oil Vanilla -- 4 fl oz
Sold by: Express Health
$11.26

It is made in Tahiti and has a real vanilla bean in the bottom of the bottle.  Because it has coconut oil in it, it solidifies at 68 degrees, but all you have to do is put it into your hand and it melts.  It smells SO GOOD!  It also has Tiare flower scent in it that the Bath & Body Works formula had as well as Vitamin E and actual vanilla bean fragrance from a real vanilla bean.  It is only 4 ounces, but a little goes a long way and is only $11.26.  This is a body lotion and it smells awesome and is the closest thing to the B&BW formula I could find with a reasonable price tag.

Buy it Again","This is a ridiculous price and the seller should be ashamed ! and Body Works quit selling this and I have no idea why . Everywhere I went perfect strangers would ask me what scent I was wearing ! I told them this in the store , as if it did any good . SO , for all you out here who love the vanilla scent , try this , also sold on Amazon : 

 Monoi Tiare Tahiti Coconut Oil Vanilla -- 4 fl oz but all you have to do is put it into your hand It smells SO GOOD ! It also has Tiare flower scent in it that the Bath & Body Works formula had as well as Vitamin E and it smells awesome and is the closest thing to the B&BW formula I could find with a reasonable price tag ."
A156IOMOA59X7N,B0009RF9DW,-1,1,5,1,I always use this so was as expected,
A32RAW9ILQYP9S,B0009RF9DW,-1,1,5,1,Will buy again,
A2KUYYA021Y4KO,B0009RF9DW,-1,1,5,1,Need a bigger bottle!,
A1VRZOJ7MNAJME,B0009RF9DW,-1,1,5,1,"I love the smell of this particular product and the way it feels on my lips.  I wish it wasn't so expensive, because I would buy more!,,","I love the smell of this particular product I wish it was n't so expensive ,"
A2BLQAZWM052C1,B0009RF9DW,-1,1,5,1,This is my wife's go to body wash.,
A7LAYX9R7IMOO,B0009RF9DW,-1,1,5,1,I really is what I expected,
A337VOJXCV97F6,B0009RF9DW,-1,1,5,1,$65 for one bottles of soap!! Do NOT use this sight unless you are very wealthy!,Do NOT use this sight unless you are very wealthy !
A1NXF07STAXNN3,B0009RF9DW,-1,1,5,1,soapy,soapy
A105A034ZG9EHO,B0009RF9DW,-1,1,5,1,yum,
A149WHPACMTSLO,B0009RF9DW,-1,1,5,1,"It was what my 16 year old grandson wanted,because he can not fine it in the stores. Please bring it
back to walmart.",because he can not fine it in the stores . Please bring it
AI8FN9LAD3WT0,B0009RF9DW,-1,1,5,1,"This was the best of all the Axe line, and they discontinued it. I wish they would bring it back. :(","This was the best of all the Axe line , and they discontinued it . I wish they would bring it back . :("
A2W643VRI6ELN,B0009RF9DW,-1,1,5,1,I haven't gotten it yet because I ordered it today but I'm hoping it will be good for me to use,but I 'm hoping it will be good for me to use
A3CZ890UHC8HHZ,B0009RF9DW,-1,1,5,1,"It diffuses a very mild light perfume, just what I wanted. I wear Shalimar lotion and perfume so I wanted a nice hint on days I do not want to wear the stronger lotions and perfumes. I will be purchasing it again.",so I wanted a nice hint on days I do not want to wear the stronger lotions
A4WYCR7FYUSPS,B0009RF9DW,-1,1,5,1,Dove no longer manufactures this body wash so I was relieved to find it on Amazon. The price is ridiculous but since I could not find it anywhere else I bought it. This is the only body wash I can use that doesn't dry my skin and make me itchy. If you pair this with Dove's Cream Oil lotion you're good to go.,The price is ridiculous and make me itchy .
A10JB7YPWZGRF4,B0009RF9DW,-1,1,5,1,"I continually get compliments on how wonderful I smell whenever I have used this product- especially when using it with the body lotion. I bought this product at Bath and Body during one of their annual sales a year ago and now they no longer carry it. However, other dealers have it online for $ 45 and the lotion for $45  up to 95? I don't know why Bath & Body stopped selling it.",I continually get compliments on how wonderful I smell whenever I have used this product- especially when using it with the body lotion . and now they no longer carry it . I do n't know why Bath & Body stopped selling it .
A2J50ZCVKL1H9L,B0009RF9DW,-1,1,5,1,"I am writing this in the dark of my room. My roommate came over with a bottle of this stuff from Europe and whenever she would shower, I would wonder, ""What angel has fluttered down from the sky and walked into my life?"" ...because she smelt that good. SO today, I decided would be the day. I got drunk (because I can't do anything as daring), and stole her soap and took a shower in it. Only a wee bit. Like 3 dollops and I must say, OMG. I'll explain. You know, when you feel yourself hazy from an alcohol buzz, I was washed my face with it and when I opened my eyes, everything seemed brighter. THis stuff actually does revitalize. AND, I smell so expensive. I should probably go find another room to sleep in as I revel in this beauty. Because she will be able to tell immediately. She's cool though. She's Irish.","I am writing this in the dark of my room . and whenever she would shower , I would wonder , "" What angel has fluttered down from the sky because she smelt that good . I got drunk ( because I ca n't do anything as daring ) , and stole her soap Like 3 dollops You know , when you feel yourself hazy from an alcohol buzz , I was washed my face with it and when I opened my eyes , everything seemed brighter . THis stuff actually does revitalize . AND , I smell so expensive . I should probably go find another room to sleep in as I revel in this beauty . She 's cool though ."
A2D48QTM7CXR0D,B0009RF9DW,-1,1,5,1,"I have sensitive skin and I have to be careful what I use on my skin.  Many products make my skin itch and sometimes I'll get a red rash or blotches (sounds lovely, huh?!)  This shower gel is very gentle, does the job and doesn't make my skin itch nor cause a rash.  The only thing I woud suggest is that they leave out the fragrance or have a fragrance free option.  Although the send is not too strong and is a nice scent.","I have sensitive skin and I have to be careful what I use on my skin . Many products make my skin itch and sometimes I 'll get a red rash or blotches ( sounds lovely , huh ? ! ) This shower gel is very gentle , does the job and does n't make my skin itch nor cause a rash . The only thing I woud suggest is that they leave out the fragrance or have a fragrance free option . Although the send is not too strong and is a nice scent ."
A245UNW3PI53NG,B000FI4S1E,-1,1,5,1,I am allergic to a lot of things. I occasionally get a red rash over my body after using some other body washes. This one is an exception. Not a single complain. Perfect!,I am allergic to a lot of things . I occasionally get a red rash over my body after using some other body washes . Not a single complain . Perfect !
A3F53CPYRL46XZ,B000FI4S1E,-1,1,5,1,"So, 5 stars it is.",
A1D3G0HL756T8B,B000FI4S1E,-1,1,5,1,Lovin' them.,
A2NH58DY5F0XSZ,B000FI4S1E,-1,1,5,1,AAA+,
A121C9UWQFW5W6,B000FI4S1E,-1,1,5,1,Just what I wanted and it arrived early,
ASL42Q7LYJWFV,B000FI4S1E,-1,1,5,1,Tried many but this is the one to buy.,
A280XZUEBJ0G3Z,B000FI4S1E,-1,1,5,1,Absolutely...exactly as described,
AVXT2TB9ZHYRF,B000FI4S1E,-1,1,5,1,It was just what I wanted.,
ABXNHW16GPL6F,B000FI4S1E,-1,1,5,1,"This is a ridiculous price and the seller should be ashamed!  Bath and Body Works quit selling this and the lotion that went with it and I have no idea why.  Everywhere I went perfect strangers would ask me what scent I was wearing!  I told them this in the store, as if it did any good.  SO, for all you out here who love the vanilla scent, try this, also sold on Amazon:

Monoi Tiare Tahiti Coconut Oil Vanilla -- 4 fl oz
Sold by: Express Health
$11.26

It is made in Tahiti and has a real vanilla bean in the bottom of the bottle.  Because it has coconut oil in it, it solidifies at 68 degrees, but all you have to do is put it into your hand and it melts.  It smells SO GOOD!  It also has Tiare flower scent in it that the Bath & Body Works formula had as well as Vitamin E and actual vanilla bean fragrance from a real vanilla bean.  It is only 4 ounces, but a little goes a long way and is only $11.26.  This is a body lotion and it smells awesome and is the closest thing to the B&BW formula I could find with a reasonable price tag.

Buy it Again","This is a ridiculous price and the seller should be ashamed ! and Body Works quit selling this and I have no idea why . Everywhere I went perfect strangers would ask me what scent I was wearing ! I told them this in the store , as if it did any good . SO , for all you out here who love the vanilla scent , try this , also sold on Amazon : 

 Monoi Tiare Tahiti Coconut Oil Vanilla -- 4 fl oz but all you have to do is put it into your hand It smells SO GOOD ! It also has Tiare flower scent in it that the Bath & Body Works formula had as well as Vitamin E and it smells awesome and is the closest thing to the B&BW formula I could find with a reasonable price tag ."
A156IOMOA59X7N,B000FI4S1E,-1,1,5,1,I always use this so was as expected,
A32RAW9ILQYP9S,B000FI4S1E,-1,1,5,1,Will buy again,
A2KUYYA021Y4KO,B000FI4S1E,-1,1,5,1,Need a bigger bottle!,
A1VRZOJ7MNAJME,B000FI4S1E,-1,1,5,1,"I love the smell of this particular product and the way it feels on my lips.  I wish it wasn't so expensive, because I would buy more!,,","I love the smell of this particular product I wish it was n't so expensive ,"
A2BLQAZWM052C1,B000FI4S1E,-1,1,5,1,This is my wife's go to body wash.,
A7LAYX9R7IMOO,B000FI4S1E,-1,1,5,1,I really is what I expected,
A337VOJXCV97F6,B000FI4S1E,-1,1,5,1,$65 for one bottles of soap!! Do NOT use this sight unless you are very wealthy!,Do NOT use this sight unless you are very wealthy !
A1NXF07STAXNN3,B000FI4S1E,-1,1,5,1,soapy,soapy
A105A034ZG9EHO,B000FI4S1E,-1,1,5,1,yum,
A149WHPACMTSLO,B000FI4S1E,-1,1,5,1,"It was what my 16 year old grandson wanted,because he can not fine it in the stores. Please bring it
back to walmart.",because he can not fine it in the stores . Please bring it
AI8FN9LAD3WT0,B000FI4S1E,-1,1,5,1,"This was the best of all the Axe line, and they discontinued it. I wish they would bring it back. :(","This was the best of all the Axe line , and they discontinued it . I wish they would bring it back . :("
A2W643VRI6ELN,B000FI4S1E,-1,1,5,1,I haven't gotten it yet because I ordered it today but I'm hoping it will be good for me to use,but I 'm hoping it will be good for me to use
A3CZ890UHC8HHZ,B000FI4S1E,-1,1,5,1,"It diffuses a very mild light perfume, just what I wanted. I wear Shalimar lotion and perfume so I wanted a nice hint on days I do not want to wear the stronger lotions and perfumes. I will be purchasing it again.",so I wanted a nice hint on days I do not want to wear the stronger lotions
A4WYCR7FYUSPS,B000FI4S1E,-1,1,5,1,Dove no longer manufactures this body wash so I was relieved to find it on Amazon. The price is ridiculous but since I could not find it anywhere else I bought it. This is the only body wash I can use that doesn't dry my skin and make me itchy. If you pair this with Dove's Cream Oil lotion you're good to go.,The price is ridiculous and make me itchy .
A10JB7YPWZGRF4,B000FI4S1E,-1,1,5,1,"I continually get compliments on how wonderful I smell whenever I have used this product- especially when using it with the body lotion. I bought this product at Bath and Body during one of their annual sales a year ago and now they no longer carry it. However, other dealers have it online for $ 45 and the lotion for $45  up to 95? I don't know why Bath & Body stopped selling it.",I continually get compliments on how wonderful I smell whenever I have used this product- especially when using it with the body lotion . and now they no longer carry it . I do n't know why Bath & Body stopped selling it .
A2J50ZCVKL1H9L,B000FI4S1E,-1,1,5,1,"I am writing this in the dark of my room. My roommate came over with a bottle of this stuff from Europe and whenever she would shower, I would wonder, ""What angel has fluttered down from the sky and walked into my life?"" ...because she smelt that good. SO today, I decided would be the day. I got drunk (because I can't do anything as daring), and stole her soap and took a shower in it. Only a wee bit. Like 3 dollops and I must say, OMG. I'll explain. You know, when you feel yourself hazy from an alcohol buzz, I was washed my face with it and when I opened my eyes, everything seemed brighter. THis stuff actually does revitalize. AND, I smell so expensive. I should probably go find another room to sleep in as I revel in this beauty. Because she will be able to tell immediately. She's cool though. She's Irish.","I am writing this in the dark of my room . and whenever she would shower , I would wonder , "" What angel has fluttered down from the sky because she smelt that good . I got drunk ( because I ca n't do anything as daring ) , and stole her soap Like 3 dollops You know , when you feel yourself hazy from an alcohol buzz , I was washed my face with it and when I opened my eyes , everything seemed brighter . THis stuff actually does revitalize . AND , I smell so expensive . I should probably go find another room to sleep in as I revel in this beauty . She 's cool though ."
A2D48QTM7CXR0D,B000FI4S1E,-1,1,5,1,"I have sensitive skin and I have to be careful what I use on my skin.  Many products make my skin itch and sometimes I'll get a red rash or blotches (sounds lovely, huh?!)  This shower gel is very gentle, does the job and doesn't make my skin itch nor cause a rash.  The only thing I woud suggest is that they leave out the fragrance or have a fragrance free option.  Although the send is not too strong and is a nice scent.","I have sensitive skin and I have to be careful what I use on my skin . Many products make my skin itch and sometimes I 'll get a red rash or blotches ( sounds lovely , huh ? ! ) This shower gel is very gentle , does the job and does n't make my skin itch nor cause a rash . The only thing I woud suggest is that they leave out the fragrance or have a fragrance free option . Although the send is not too strong and is a nice scent ."
A1EVV74UQYVKRY,B000GLRREU,-1,1,4,1,"My 12 year old just got braces for the first time and the procedure to floss between his teeth was never going to happen. So the orthodontist recommended getting a Waterpik instead.

After looking at all the models, we choose this one. It holds a lot of water. It has storage in the lid for all the attachments, and it seemed easy to use.

I looked at the ones that were battery powered but I didn't think they would hold enough water and I couldn't see him refilling it to finish. This model has a big range of pressure that changes quickly with the turn of a dial. it does have to be plugged in and the handle is connected by a water tube. This does limit the distance from the unit to the mouth but it is more than enough if you are standing at a vanity.

There is a huge variety of tips but I don't think we will be using more than two or three. I actually wish that there were two or three of the basic tips for multiple family members instead of some of the other fancy tips.

The tips pop on and off easily and there is a 'pause' button on the handle that allow you to shut the water spray off quickly. This way, you can turn it on, position it in your mouth and then start the water spray.

It is not a clean process. It is almost impossible to use this without splashing water at some point.

The bottom line is that it does what it promises and my son has been using it. We'll see how good his teeth are when the braces come off in two years...","So the orthodontist recommended getting a Waterpik instead . It has storage in the lid for all the attachments , and it seemed easy to use . but I did n't think they would hold enough water This model has a big range of pressure that changes quickly with the turn of a dial . This does limit the distance from the unit to the mouth but it is more than enough if you are standing at a vanity . There is a huge variety of tips I actually wish that there were two or three of the basic tips for multiple family members instead of some of the other fancy tips . and off easily and there is a ' pause ' button on the handle that allow you to shut the water spray off quickly . It is not a clean process . It is almost impossible to use this without splashing water at some point . The bottom line is that it does what it promises We 'll see how good his teeth are when the braces come off in two years ..."
A2SH7OWE8QJYNC,B000GLRREU,-1,1,5,1,"After moving across the country we ended up with a dentist who has no sense of humor.  Our family doesn't floss much.  The dentist castigated me for this and I said, ""But I do floss!  Twice a year!"" (meaning that during both of my dental visits the hygientist flosses my teeth).  The dentist and his hygienist were not amused.

So, we got a Water Pik so that next time we go (if we haven't changed dentists by then!) we will be able to tell them we do use it.  It works fine, no problems yet, but I do strongly recommend you put WARM water in it before use.  I tried to cut corners once and use the cold water that was still in it from the morning, and it was like cold needles shooting into my gums!","After moving across the country we ended up with a dentist who has no sense of humor . and his hygienist were not amused . It works fine , no problems but I do strongly recommend you put WARM water in it before use . I tried to cut corners once and use the cold water that was still in it from the morning , and it was like cold needles shooting into my gums !"
A2JCJJNY43QQIV,B000GLRREU,-1,1,5,1,"I've always prided myself on my good teeth. I thought that flossing and brushing was enough...that was until I went to the dentist, and he said I had the beginnings of periodontal disease. That scared the hell out of me.

I went home and started using the Sonicare I had bought but never plugged in. That was good, but not enough - I bought a Waterpik because obviously flossing wasn't cutting it.

I had never used a Waterpik before, and it was some revelation! I'm still amazed that there are some Waterpik oldtimers who say this machine isn't strong enough...uh, for what? Peeling paint off a brick wall? This thing absolutely knocked my socks off when it came to the PRESSURE.

I started out at 2 and worked my way up to 7 - it still stings like mad, but I'm getting used to it by now. I put Listerine in the tank to increase the anti-bacteria result.

My dentist went on vacation, and I had to cancel another appointment, so it happened that almost two months had elapsed since the last time I had seen him. In that time, I faithfully brushed with the Sonicare four times a day and used the Waterpik at least once (several tankfuls of water and Listerine worth.)

Regarding the leaking people talk about - the only time the tank leaks, I notice, is if I put my fingers on the seal when I'm refilling it. If I'm careful to keep my fingers away from that seal, the tank is water tight.

So when I returned for my check-up, the dentist was AMAZED. He wasn't sure what I had done, but he said my gums looked pink and healthy! He had said initially I'd have to get my teeth cleaned every three months because I must be one of those people who gets a tartar build up quicker than other people...well, I had worked religiously on scaling back the plaque. (I had also bought a dental mirror so I could check the back of my front teeth for telltale plaque residue.)

Hmmm, no comment about that plaque...was it because there WASN'T any? My dentist asked me if I had been eating because there was so little build up (I had to tear that out of him because I KNEW he didn't want to give me credit for working that hard on my dental hygiene!)

The dentist HADN'T recommended a Waterpik, but I knew I had to go to the extreme to beat back the periodontal enemy. My teeth are so clean, they squeak!","I 've always prided myself on my good teeth . and brushing was enough ... that was until I went to the dentist , That scared the hell out of me . That was good , but not enough - I bought a Waterpik because obviously flossing was n't cutting it . and it was some revelation ! I 'm still amazed that there are some Waterpik oldtimers who say this machine is n't strong enough ... uh , for what ? This thing absolutely knocked my socks off when it came to the PRESSURE . and worked my way up to 7 - it still stings like mad , I put Listerine in the tank to increase the anti - bacteria result . and I had to cancel another appointment , In that time , I faithfully brushed with the Sonicare four times a day and Listerine worth . ) Regarding the leaking people talk about - the only time the tank leaks , I notice , is if I put my fingers on the seal when I 'm refilling it . If I 'm careful to keep my fingers away from that seal , the tank is water tight . So when I returned for my check - up , the dentist was AMAZED . He was n't sure what I had done , and healthy ! because I must be one of those people who gets a tartar build up quicker than other people ... well , I had worked religiously on scaling back the plaque . Hmmm , no comment about that plaque ... was it because I KNEW he did n't want to give me credit for working that hard on my dental hygiene ! ) The dentist HADN'T recommended a Waterpik , but I knew I had to go to the extreme to beat back the periodontal enemy . so clean , they squeak !"
A25C2M3QF9G7OQ,B000NKJIXM,1,-1,2,5,"While I like non-alcohol-based rinses, I was not pleased with this. On the plus side, it provides the same benefits as other rinses and does it without the burning sensation I get from those with alcohol. Plus, the lack of alcohol helps me deal with chronic dry mouth issues (alcohol rinses and mouthwashes make dry mouth much worse).

But how a rinse tastes is important since you'll be tasting it for some time after use. This was overly sweet rather than ""fresh mint"" tasting like other rinses (such as ACT). The aftertaste remained sweet to the point where it was unpleasant.

I'm was concerned about the potential for tooth staining. I've not had any issues with that so far with this rinse, but it was a concern.

If you like really sweet tasting rinses this may be worth a shot. For me, however, it was not something I'd use again.","While I like non - alcohol - based rinses , I was not pleased with this . On the plus side , it provides the same benefits as other rinses and does it without the burning sensation I get from those with alcohol . Plus , the lack of alcohol helps me deal with chronic dry mouth issues ( alcohol rinses and mouthwashes make dry mouth much worse ) . But how a rinse tastes is important since you 'll be tasting it for some time after use . This was overly sweet rather than "" fresh mint "" tasting like other rinses ( such as ACT ) . The aftertaste remained sweet to the point where it was unpleasant . I 'm was concerned about the potential for tooth staining . I 've not had any issues with that but it was a concern . If you like really sweet tasting rinses this may be worth a shot ."
