asin,user_Name,user_Country,reviewText,overall,reviewerID
7XIwyKBkZS,Magali,Brazil,"Perfect. Staff kind and attention. In special David, he is an amazing person, always avaiable to help me for all. Good breakfast and excellent location. Nothing.",5.0,3081
YbwfUTXVO_,Philip,Úc,"The pool was very good, breakfast was excellent & the beach beautiful & safe Only thing they could do is put a more private door on bathroom",4.5,3937
wnxyaH4M1E,Vân,Việt Nam,"Clean and comfortable. The host is very nice, friendly, and helpful. We arrived very late and we didn’t have dinner. The host still prepared dinner for us even though we didn’t pre-order. Room rate with breakfast included was really cheap. No",4.5,5185
7NZ0lh4tcO,Hiep,Việt Nam,the breakfast was just acceptable. I think it did not meet my expectations there is few thing I didn't like,4.0,1888
cu3iWu_tyy,정민,Hàn Quốc,"the pool was amazing. wanted to stay there all day but sudden rain came. but it was also good experience. to get to the floor I stayed, I scanned the room key in the elevator, it did not work 3 times during I stayed. additionally, I booked for 2 nights, but the room key did not work for my room as well on the 2nd night. it was only annoying part.",3.0,5429
CRcoK2nQx6,Dana,Romania,"The hotel is excelent, boutique style and very chic. The breakfast was great. The rooms are huge and very clean. Nothing",5.0,1064
FSTOHUd-y0,Niels,Bỉ,"Everything! Location, view, very nice and friendly staff! Really nice stay! Norhing!",5.0,3705
vdYG0VB7Ul,David,Vương Quốc Anh,"Very friendly and helpful host, only too happy to help. Good location - about 20 min walk to the river.",4.5,1139
N2-gmWEARd,Hang,Việt Nam,"- Location. Although Soc Trang is a small city, the hotel is located near some good restaurants and street food places, and easy to travel to sightseeing places.- Room is clean and quite new. - Family room seems to be too small",4.5,1798
U9hnQZl0DH,Hasan,Úc,"Very good, clean and friendly staff. Well renovated, and cozy. I will definitely come back again. Thank you.",5.0,1834
h6hDmSDgrC,Tanja,Áo,"The homestay is really nice! The host is very friendly, the room nice and the breakfast good. We would come back again!",4.5,4756
DIArz2ubib,Vijai,Malaysia,It's really very clean.. And definitely the environment which is awesome..,4.5,5132
0M5o6JNR3B,Anastasiia,Nga,"Amazing hospitality, comfortable rooms and cozy place)Wonderful atmosphere and nice stuff",5.0,263
aF0Rj-Juy6,Yusuf,Việt Nam,It was nice and comfy. if they can keep it a bit more clean; would perfect. Honestly I like receptionist she was very friendly and positive. it made my stay better:)),3.5,5344
docUIHUDz6,Molly,Vương Quốc Anh,Great location Pool table 24 hr reception Staff super friendly and helpful with our onward travels Free breakfast Lovely terrace and view I thought I was okay with the stairs but sometimes I wasn't okay with the stairs ...we were on the top floor Could see through the privacy curtains when the bed light was on,5.0,3503
PIsU_BKLQT,Polly,Úc,Location was perfect. Breakfast needed more options.,5.0,3996
hvyPHPJzs_,Jonathan,New Zealand,"Great hotel, throughly enjoyed our 7 night stay here.",4.5,2349
8I-qSW32q3,Glenis,New Zealand,"Lovely hotel in a fantastic location. 1 min walk to the lake and lots of excellent restaurants all around the hotel. Room was spacious and comfortable. Breakfast was amazing! And the staff were very friendly and helpful at all times. We had a room with a shower over the bath, which I usually try to avoid, and the poor design of the bath meant that water leaked onto the floor making it hazardous.",4.5,1703
m66oQthXsC,Không tên,Vương Quốc Anh,"Very isolated and calming, easy to relax N/A",5.0,2661
QFWAQemUh5,Nguyen,Việt Nam,"Room, swimming pool Very slow lift, not very close to the beach.",4.0,3649
KEWqFXyQyD,Anna,Úc,"it is beautiful, clean and has a feel good atmosphere. breakfast was good, massage was amazing and staff were super helpful and nice. there was nothing I didn’t like. everything was great!",5.0,345
4sKh87uWB2,Eric,Mỹ,"Everything! When you go to a place and it is beyond expectations, it's a rare occurrence. The room is comfortable and the amenities are great. You can't beat the location or price. The best part? The hosts! They go above and beyond to help facilitate whatever one needs. NOTHING",5.0,1443
YGdl_79SFs,Kornel,Việt Nam,Charming place and super helpful host,5.0,2724
CQ2A-d-ymC,Ashwini,Sri Lanka,"I think the place is perfect if you would like some privacy, isolation and a getaway from your city life. It is really being isolated in an island and enjoying nature. I liked the naturistic view of the place and simply the peace and serenity you can get being beside the sea. I think it is not the fault of the place, i guess it is the country in general, they are not english-speaking people hence, it was difficult to converse or make any requests without using google translation. Minimal conversation, hence better to go with family, no solo trip for these places.",3.5,462
GGsfogSo2S,William,Úc,Gorgeous location with incredibly friendly staff and a beautiful dog. We stayed in the wooden house which was very lovely and had an incredible view of the lagoon and nearby rainforest. Breakfast and coffee were delicious. No fridge to keep water cool.,5.0,5234
D3WNQUkKRR,Daniel,Vương Quốc Anh,"Great hotel in an awesome location. The staff are amazing, they helped search, book and accommodate all our needs during our stay. Would highly recommend",5.0,1087
hvyPHPJzs_,Olivia,Úc,beautiful hotel only a minutes walk into the ancient town.,5.0,3794
_YQ0Z9FZaO,Duc,Canada,"Our family love our deluxe room, very spacious, very clean. Right in the middle of the city, close to all the local restaurants and bars. Very happy with our stay.",5.0,1291
PAOwcZPzvs,Katrin,Đức,"The staff is amazing - so welcoming, friendly and helpful that you feel at home immediately. I could also check in already early in the morning and got a room with private bathroom free of charge. They invited me for dinner, we cooked together and had a lovely evening. It was very special. I cannot recommend enough! I'll be back for sure.",5.0,2555
kuWKPMeob4,Catherine,Úc,peace & quiet it wasn’t five star but that’s what I expected and liked about the property. very thin walls between the double villas.,4.5,785
kb5qEL2pei,Luellen,Mỹ,The host was incredible and cooked us an amazing dinner! We ate our meal while overlooking probably the best view I’ve ever seen!,5.0,3026
AtlrN6ZNyh,Vicky,Vương Quốc Anh,"First impressions - amazing use of space and a great meet and greet. Breakfast - excellent, very fresh and different each day Laundry service - free and done for you, which is just great! Location - whilst not the most central location, the host got us taxi's as we couldn't use the grab App as we only had a local electronic sim! We also used Google maps and the local bus, which is very cheap and reliable! So I didn't find location as issue at all. My husband loved the free gym! Whilst we did love our stay I feel it necessary to talk about what we didn't like. This place doesn't know what it wants yo be! It's guests are mainly young English teachers who actually live there medium to long term, so it's their home! We felt a bit like we were staying in their house. They are young, and with that came lots of night time noise, and socialising with friends not guests of the homestay right under our window until 2am on a couple of occasions. I expect young people to be noisy, it's normal, but I felt at the cost to other guests. This is because the place is mixed with different types of guests, and doesn't really have a true identity. This mixed with a very hard uncomfortable bed equaled a major lack of sleep for me! However, we did still enjoy our booking, but I feel this feedback is necessary for mid age guests, where noise might be an issue.",4.0,5116
Vf1Mp5b3Br,Piper,Úc,couldn’t have loved this beautiful property more! the owners were so friendly and helpful and our bungalow was gorgeous! right by the beach too ️ not to mention the breakfast was 10/10!! would come back in a heartbeat,5.0,3980
aksBOn7V6R,Wai,Malaysia,"the location is great. the house keeping is inconsistent, some days we had have 2 towers, and 2 bottles of drink someday we had 3.....",3.5,5190
aYhyeFZZU9,Uulkje,Hà Lan,"The homestay is close to the center in a quiet street. The family is very nice and make you some fine breakfast to start the day. The beds are big and comfortable, the shower is hot. The only thing we missed was a nice lounge area. But ofcourse the bed was a good backup since its big enough to chill on.",5.0,5058
7PEpRwQgDN,Lisanne,Mỹ,Excellent. The pool had very little seating and it only stayed open until 9:00 p. m.,4.5,2949
67uaPApYfd,John,Vương Quốc Anh,"Perfect views, on top of the beach, very good value for money breakfast selection could be a little bit better, but that’s just being fussy",5.0,2334
B7b76r_371,Joshua,Mỹ,"Incredible place, beautiful area the apartment is in a perfect location close to everything with a gym and a swimming pool you can enjoy! Host is a super host with all that means! super kind and responsive available to all the question and trying to help in any way he can. Thank you for an amazing stay",5.0,2390
7WqHXWGWEq,Dindo,United Arab Emirates (Các Tiểu Vương Quốc Ả Rập Thống Nhất),The staff can communicate priperly Confusing awareness of the staff from my booked date,2.5,1228
CRcoK2nQx6,Aditya,Ấn Độ,Everything was perfect. Breakfast was average.,5.0,55
-jqfNQMbEA,Conor,Ireland (Ai Len),"The hotel was gorgeous, and the staff were absolutely amazing.",5.0,999
Mcos_xuZN3,Graham,Thái Lan,Staff very friendly and accommodating let us you the pool as arrived early to checkin and room clean location was great 10 mins walk to beach Maybe a bit more space on balcony but that's just the way its designed,4.0,1730
iqEF3-lffX,Ruby,Canada,Great customer service picking and dropping off at the airport. The staff reached out when my flight landed and were in constant communication until the driver arrived. Clean and modern rooms.,5.0,4277
hvl5LB3Sqo,Oscar,Hà Lan,"location, cleanliness, staff friendliness and assistance only small recommendation: change the toilet cover as its a bit smudgy on the sides. Looks not so clean and its in contrast to the overall cleanliness",5.0,3816
TXvYYujbwF,Michael,Canada,"Not bad. Little worn down in a few places, but still okay. Location is alright, but it's not close to much of interest. Easy to get around by Grab, etc. Big window that looked out into an alleyway, but at least it let some light in. Room was mostly clean. Bathroom was nice, shower worked well. Staff was friendly and helpful, but communication was difficult at times. The kettle was filthy with the moldy remains of somebody's noodles (but staff gave me a new kettle on request).Cleaning staff was very noisy in the early mornings. Saw a couple cockroaches around, but that's common in this part of the world.",3.5,3396
oD6EGzoLVG,Edward,Úc,Great value for the money GREAT STAFF ALL VERY GOOD,5.0,1323
AimZ04u582,Adrian,Vương Quốc Anh,"We really liked this hotel! Lovely room and decor, clean and comfortable, great shower, friendly and helpful staff and very centrally located. When needed they called taxis to the hotel for us (on one occasion giving us a free ride on the back of their staff’s bikes to the old Imperial Palace). When we left we had an evening train, and they gave us a discount on the final day. All was good.",5.0,60
PbkQGhZGWp,Lyndon,Úc,"The decorations and furnishing were very pleasant. Room was spacious and satisfactory. Manager was very attentive and friendly. The location was excellent, close to city centre, but in a quiet lane away from traffic. On the nights I had this room it was very affordable. I would stay here again.",4.5,3054
-9x8b2Aoif,Fanny,Vương Quốc Anh,"The building itself is modern and location is perfect for exploring the old town and Imperial City. The house is located in a residential area, and is clean and quite. The owners are amazing! They were so accommodating and really went the extra mile to make us feel comfortable.",4.5,1509
NoO71omW_2,Siva,Ấn Độ,dirty noisy and there was a lizard in the bathroom,1.0,4538
-qZLHUBoHT,Matthew,Vương Quốc Anh,"Very friendly and helpful staff, good location near the beachfront!",5.0,3307
WN-DoUR1yG,Godden,Vương Quốc Anh,The staff were so lovely and super helpful! The property and room were also super clean! Would highly recommend.,5.0,1711
0iZlepAG7m,Yacine,Tây Ban Nha,"Very nice place. Exactly how it is in the pics and description. Despite arriving in a street under wolds, the homestays are located behind the street and get an direct access to the beach (5min walk) with free access to the beach chairs. Linh helped us booking activities and arranging any request also giving advice for restaurant around or in Hoi An Nothing",5.0,5281
0NxLk7nCXE,Mika,Phần Lan,"There was something so idyllic about this place in the color world and the cleanliness, that we decided to come back right away the same week after 3 days in Hoi An... So thanks to the glorious Lady of the House for that too…",5.0,3443
CQ2A-d-ymC,Guillermo,Tây Ban Nha,everything was amazing 10/10,5.0,1755
IJfbOmzBcn,Gerard,Vương Quốc Anh,"staff was amazing, kindest people we’ve met so far in Vietnam. Breakfast was decent, rooms did it’s job and everything worked perfectly fine and it’s a short walking distance to the restaurants. the only downside to the place was the drain pipes had a rotten egg smell every time we used the shower, flushed the toilet or run water in the sink. otherwise can’t really fault this place.",4.5,1669
DHaiQZXcjP,Junsoo,Hàn Quốc,kind staffbang for the buck blockage in the sewerantsbad soundproof,4.5,2449
V_3h6Imq9M,Saskia,Đức,"By far the best hostel in Vietnam I stayed at!!! Everybody working there loves what they do and it‘s showing. They really make you feel welcome and help you with anything you might need. Minh and her co-workers made me feel very much at home. The atmosphere is cozy, and there is lots to do besides the floating markets. They have free bicycles, and you can also hire a scooter. If you want to go to Cambodia and need a few days rest before taking the bus, this place is perfect!",5.0,4397
EhpeYVDLx4,Yves,Romania,paradise,5.0,5347
TpV_OeM5VK,Chandra,Ấn Độ,The accomodation was different from the one shown in the website. They made us stay in a different building which had a tiny room and few amenities. ( We are sharing pictures). The landlord couldn't understand English and overcharged us. The stay is inside a very narrow lane and taxis couldn't reach there. Tip- kindly confirm your stay before you trust the landlord. We checked in late night hence were too tired to object to someone who was old and couldn't understand us.,2.0,803
vHUEEzbOkX,Saikat69,Ấn Độ,Excellent Hotel and has superb hospitality. The Hanoi Hotel Royal team is awesome and always ready to help. Their airport pick up and drop off were smooth. At times they had gone beyond to help me - I had lost my mobile in a cab during my return from Ho Chi Minh to Hanoi but they coordinated with the cab driver from Hanoi to get my mobile back at the airport - commendable customer service.....really impressed !!! They also helped me to pack my decorative plant for smooth air transfer during my return.....Hanoi Hotel Royal is truly a Home Away from Home!,5.0,4314
68NWltC3jy,Martin,Vương Quốc Anh,Really clean room and friendly staff! lovely free breakfast also!,5.0,3272
qYL_T13QCf,Helen,Thụy Điển,"nice bed hard pillows, a bit run down rooftop with tiny gym",3.0,1862
6t7t8wEbl5,Pradtanadee,Campuchia,Very pretty hotel. The lady at the front was very welcoming and made me and my husband feel at home.,5.0,4007
Jbxsfv3jbD,Sung,Việt Nam,the staffs are super friendly and the room was clean & comfortable. we like to walk along the beach stretched out front the hotel.,4.5,4674
bOOBHVTpIZ,Alex,Vương Quốc Anh,"very nice and friendly staff, good breakfast and base for Ha Giang loop. Our room was full of flies and the bathroom was damp.",2.5,147
iPL8Clm2sB,Irimia,Romania,"Everything was a 10. The staff was very kind. They gave us a room with a balcony, much better than what we paid. They welcomed us with rice cake, bananas, tea and coffee. They would call us a taxi and drive us to the car telling the driver where to take us. We bought the phone card from them and they put the card in our phone. The room was clean. The towels smelled of flowers, the bed very comfortable and the linen quality. There was tea and coffee in the room. Boiled water in the bath and shower. The hotel was very well positioned in the old quarter close to restaurants, shops and tourist attractions. The taxi cost 1. 2 dollars to the objectives if you didn't want to walk. Quality-price ratio, excellent!",5.0,2040
xewoWHUJTS,Wadhwa,Ấn Độ,"The staff is amazing, they were so sweet and so helpful. The location is good, we walked around quiet a lot. Close to important destinations. The food was decent. Not a lot of options but good enough. Overall we would highly recommend it. Limited food options for breakfast probably is the only thing that comes to mind.",4.5,5188
poQtnJwmOP,Andrei,Romania,"This was our best accomodation in Vietnam. There are lot of flowers and well maintained vegetation around the houses. There are small pools with fish and water flowers, it is like in a fairy-tale. I really recommend the place. Our bathroom was in the back of the house, outside area but with a tall fence for perfect privacy and a green corner so it makes you feel like your private space in the jungle. Maybe inconvenient in chilly months but I undersrood some houses have inside bathroom also. We arrived in february and the weather was perfect. Occasionally some birds came in the bathroom space to argue if the small furniture above the sink is a good place for nesting and some little insects find their way to the shower area. This is perfect for nature lovers. The room itself was clean and spacious. Clean towels and linen. The young ladies at the reception are welkoming and very helpful with everything you need. They organised transportation, help with motorcicle or motorbike rental, offer info and help with everything. They are very kind. They organised us the boat tour to floating market and arranged us the transportation to their places and then to the airport in Can Tho based on our group needs. Excellent comunication with them. The place is in the rural area near Can Tho so it is interesting to explore the villages by bicicle and see how people live, make an idea of how the life in around water canals. There is a local-style minimarket at walking distance from the accomodation. If you dont ride bicicle or motorbike the area might look a bit remote. We found no other place to eat at walking distance but we reached a small town at 6 km of bicicle ride with the help of google maps where you can find everything. We bought some exotic interesting fruits there in the fruit market and brought them at the accomodation and enjoyed them in the eating area. The boat tour on the canals and at the floating market revealed a lot of pollution. Plastic waste floating everywhere. It is very sad to see that. Otherwise it is interesting to see the trade at the floating market.",5.0,278
GqYCTJdvX5,Debbie,Vương Quốc Anh,Good location within Sapa. Close to centre but in a quieter side street. Very helpful staff on reception who booked trip up Fanasipan for us. Nice clean comfortable rooms and adequate breakfast.,4.0,1153
fK3eRXjVWC,Chingbee,Việt Nam,"Location is at the center. Room heater are not working well, the shower heater too. No breakfast",3.0,870
pvEBi8dTc7,Paksaran,Thái Lan,"The room was very clean, all staff were very helpful and friendly, and breakfast is good. The staff should be informed about outside construction before we arrive.",4.0,3834
-sYfP5N8J7,Morag,Vương Quốc Anh,"Good breakfast, extremely helpful staff. The service was excellent. Location was good for walking around the Old Quarter. Needs a little more storage space. The bed was hard, but you can ask the staff to put a mattress topper in the bed.",4.5,3520
_Ziu6ZM8N3,Lee,Singapore,Room was clean and impressive with space and facilities. Location was also nearby amenities like massage and convenience store. A bit noisy due to some loud music at some restaurant but after 10pm no more music.,4.5,2849
qaH8r6Vpza,Kieu,Úc,"This place was like heaven on earth! We loved the quiet area of Tam Coc and visiting Ninh Binh and it’s surrounds. The ducks and roses in the grounds, along with the free bikes were a great addition. We especially were grateful for the hospitality of Ha and Khanh as well as all the staff. We looked forward to cinnamon tea and foot baths, as well as their home made pineapple jam and sauces every day! They also helped us with booking a motorbike tour and transfer to the airport - these services were also great with lovely staff who drove very safely. We hope to come back here again. N/A",5.0,2676
gZYip4SJSv,Sharon,Hà Lan,"The location is great, the atmosphere is really well done. Its like you enter their cosy cafe, and the rooms are upstairs, so all very hip, warm and cosy. There is no breakfast/ Staff speaks good english, that is special in Saigon! Nothing really!. was just a great value for money! I stayed in places double the rpice but way worse!!",4.0,4453
2aPn9UBjqS,Neha,Đức,Nice lodge . beautiful surroundings. The village next to it is a bit loud with the karaoke and music. Nir the fault of the resort but it’s sad . The villagers will drive away the tourists.. the Breakfast is good lots of Vietnamese options . In general a very comfortable stay . I found it a bit too expensive,4.0,3617
ciT44IsvA_,Rachel,Jersey,This place was perfect. The host was super friendly and welcoming. He made us fresh juice or tea while around the pool and let us leave our luggage while we explored on the day we checked out. The room was spacious with a small bath & shower and hot water. The room also had A/C. The villa also has free bikes to use which was really handy. We definetly recommend staying here!!! There wasn't a choice for breakfast so we were served whatever he had made on the day which is just something to be aware of. Food was tasty though!,5.0,4066
